,datetime,distance [km],moving time [min],avg speed [km/h],max speed [km/h],ascent [km],descent [km],week,month,year
6a6febbe,2020-05-26 16:45:42,23.184,72.667,19.143,32.382,0.129,-0.133,20-22,20-05,2020
00a72a85,2020-05-27 15:38:09,39.508,114.883,20.634,38.063,0.222,-0.219,20-22,20-05,2020
66c673cd,2020-05-28 15:36:10,39.601,109.883,21.624,35.522,0.193,-0.188,20-22,20-05,2020
9b62fc18,2020-05-30 06:13:36,45.700,124.117,22.092,41.639,0.240,-0.239,20-22,20-05,2020
cb99fe0b,2020-05-31 06:34:29,10.517,42.017,15.018,35.608,0.157,-0.158,20-22,20-05,2020
9e99619d,2020-06-01 13:20:16,46.475,121.867,22.882,38.779,0.218,-0.218,20-23,20-06,2020
1ef70349,2020-06-03 15:03:38,22.474,57.817,23.323,41.759,0.078,-0.097,20-23,20-06,2020
95ea2030,2020-06-06 07:02:46,47.803,122.900,23.338,41.703,0.245,-0.243,20-23,20-06,2020
250d8198,2020-06-07 14:01:38,53.739,183.000,17.619,27.625,0.055,-0.053,20-23,20-06,2020
05cf455b,2020-06-09 15:03:27,67.663,178.750,22.712,37.684,0.240,-0.242,20-24,20-06,2020
af9be183,2020-06-11 15:53:31,49.974,136.400,21.982,43.297,0.343,-0.341,20-24,20-06,2020
fdb996f7,2020-06-13 06:24:02,59.318,157.967,22.531,46.213,0.310,-0.306,20-24,20-06,2020
068824d4,2020-06-14 06:31:58,30.249,78.900,23.003,50.007,0.156,-0.159,20-24,20-06,2020
0583ce1b,2020-06-15 16:49:34,48.194,120.883,23.921,48.552,0.219,-0.218,20-25,20-06,2020
87060903,2020-06-18 16:09:03,51.174,127.800,24.025,42.397,0.157,-0.156,20-25,20-06,2020
4206c0e6,2020-06-23 16:19:42,41.606,112.083,22.272,41.934,0.209,-0.204,20-26,20-06,2020
42ab30dc,2020-06-25 17:03:40,49.767,126.217,23.658,41.012,0.150,-0.150,20-26,20-06,2020
82c3f0bb,2020-06-28 15:15:04,37.834,99.700,22.769,53.228,0.209,-0.209,20-26,20-06,2020
8b97b529,2020-07-01 17:09:28,11.781,34.533,20.469,39.089,0.090,-0.090,20-27,20-07,2020
1d081e43,2020-07-02 16:53:08,12.354,36.117,20.524,48.909,0.155,-0.154,20-27,20-07,2020
9971a8ac,2020-07-03 16:26:40,46.700,108.683,25.781,40.977,0.123,-0.127,20-27,20-07,2020
d6f0d7c0,2020-07-07 15:49:22,60.328,142.267,25.443,48.602,0.250,-0.244,20-28,20-07,2020
8b72f4e3,2020-07-11 07:55:00,102.252,253.517,24.200,41.847,0.213,-0.221,20-28,20-07,2020
d9d893c4,2020-07-13 16:23:19,40.188,104.300,23.119,54.301,0.377,-0.373,20-29,20-07,2020
dbfdf407,2020-07-19 13:05:14,80.519,238.200,20.282,52.456,0.795,-0.789,20-29,20-07,2020
ecb8005b,2020-07-21 10:03:41,56.875,143.683,23.750,43.480,0.154,-0.147,20-30,20-07,2020
000dbfde,2020-07-23 16:01:36,40.680,100.517,24.283,38.511,0.249,-0.242,20-30,20-07,2020
a342d0b4,2020-07-26 08:01:23,25.825,70.133,22.094,40.355,0.203,-0.203,20-30,20-07,2020
d52238ec,2020-07-29 14:46:07,51.952,135.433,23.016,44.454,0.377,-0.373,20-31,20-07,2020
c68411e2,2020-08-01 08:01:37,50.414,137.617,21.980,44.067,0.323,-0.329,20-31,20-08,2020
9c21439c,2020-08-02 08:25:09,47.588,117.600,24.280,36.626,0.150,-0.149,20-31,20-08,2020
1e88d1e3,2020-08-04 14:34:06,49.577,129.083,23.044,46.508,0.527,-0.520,20-32,20-08,2020
cb2da3f8,2020-08-06 16:52:43,40.898,103.617,23.682,98.826,0.253,-0.255,20-32,20-08,2020
875b48cf,2020-08-08 06:58:09,40.259,106.317,22.720,33.948,0.100,-0.097,20-32,20-08,2020
3cf62b2c,2020-08-15 07:30:54,47.647,131.550,21.732,41.047,0.295,-0.293,20-33,20-08,2020
ba6ad5f1,2020-08-16 06:46:40,48.627,119.317,24.453,38.948,0.237,-0.233,20-33,20-08,2020
98c0860a,2020-08-16 16:12:44,7.136,18.833,22.734,41.907,0.052,-0.050,20-33,20-08,2020
514d1fc8,2020-08-18 15:36:04,45.159,105.717,25.630,46.013,0.120,-0.118,20-34,20-08,2020
bf728aa7,2020-08-20 16:34:16,40.623,98.117,24.842,42.448,0.256,-0.254,20-34,20-08,2020
bef08c03,2020-08-23 09:05:38,45.084,146.483,18.467,33.700,0.143,-0.149,20-34,20-08,2020
1273a3d5,2020-09-03 08:07:38,43.184,205.450,12.611,32.697,0.232,-0.233,20-36,20-09,2020
b03d4548,2020-09-06 08:15:07,42.820,121.517,21.143,45.623,0.386,-0.381,20-36,20-09,2020
5d4888c2,2020-09-12 09:10:53,47.927,128.500,22.379,44.164,0.304,-0.314,20-37,20-09,2020
7478f2a5,2020-09-13 11:01:46,52.273,131.733,23.809,45.166,0.140,-0.133,20-37,20-09,2020
d7fda5e9,2020-09-15 15:55:05,26.181,69.967,22.452,45.639,0.139,-0.139,20-38,20-09,2020
1298f752,2020-09-18 15:23:17,34.677,92.633,22.461,44.386,0.240,-0.238,20-38,20-09,2020
20399fdb,2020-09-20 08:41:08,63.362,188.750,20.142,43.070,0.315,-0.308,20-38,20-09,2020
2acf7ae2,2020-09-27 10:36:16,17.425,44.717,23.380,33.330,0.136,-0.094,20-39,20-09,2020
bf171de7,2020-09-27 14:23:05,15.669,38.583,24.366,35.515,0.045,-0.098,20-39,20-09,2020
7a734434,2020-10-11 10:24:54,55.312,157.750,21.038,40.794,0.327,-0.328,20-41,20-10,2020
27d3de94,2020-10-18 13:52:35,37.380,90.367,24.819,38.284,0.120,-0.116,20-42,20-10,2020
002fa4c8,2020-10-17 13:59:16,23.255,103.867,13.433,41.639,0.128,-0.129,20-42,20-10,2020
dad5a27d,2020-11-28 12:34:18,37.815,104.417,21.729,52.952,0.294,-0.296,20-48,20-11,2020
1f57a275,2021-01-02 12:41:05,21.271,65.617,19.451,37.900,0.173,-0.173,20-53,21-01,2021
96fdd0d2,2021-01-03 11:53:25,9.346,38.033,14.745,38.882,0.267,-0.264,20-53,21-01,2021
27eef3df,2021-01-10 13:16:14,9.894,43.983,13.497,35.552,0.291,-0.292,21-01,21-01,2021
b095697e,2021-01-13 13:49:54,9.937,42.250,14.112,41.467,0.292,-0.289,21-02,21-01,2021
3466cf2a,2021-01-15 12:11:59,9.924,42.417,14.038,35.104,0.291,-0.292,21-02,21-01,2021
d11f7299,2021-01-20 12:18:22,9.876,39.850,14.870,40.606,0.286,-0.276,21-03,21-01,2021
a4f17696,2021-01-24 12:23:28,13.381,56.367,14.243,38.858,0.426,-0.423,21-03,21-01,2021
64890150,2021-01-27 13:43:14,9.878,39.400,15.042,38.123,0.286,-0.287,21-04,21-01,2021
becc00f2,2021-01-31 10:06:25,13.487,57.950,13.964,38.442,0.427,-0.424,21-04,21-01,2021
c214d8c2,2021-02-02 13:35:40,9.879,38.700,15.316,43.386,0.279,-0.281,21-05,21-02,2021
54108bc7,2021-02-05 10:50:03,9.947,40.567,14.712,41.520,0.281,-0.281,21-05,21-02,2021
d97807fd,2021-02-20 14:04:35,17.216,72.067,14.334,42.014,0.540,-0.536,21-07,21-02,2021
59d13241,2021-02-22 12:50:39,25.790,69.283,22.334,41.752,0.140,-0.141,21-08,21-02,2021
fe33bb91,2021-02-28 12:12:09,42.460,121.733,20.928,35.456,0.123,-0.110,21-08,21-02,2021
